Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Patrick Corbin,32,0,Maj-NL,"Jun 22, 2022",Washington,@,Baltimore,1,1,,1.0,,4.0,7,3,3,1,6,2,0,6.75,41,19,2,1,0,0,0,0,0,0,20,83,0.76,0.1,0.12,0.31,0.08,0.08,2.0,0.455,13.5,6.0,571578
Jharel Cotton,30,0,Maj-AL,"Jun 22, 2022",Minnesota,,Cleveland,1,0,,,,1.0,2,3,3,0,0,2,1,27.0,,5,0,0,0,0,0,1,0,0,6,28,0.68,0.14,0.04,0.0,0.2,0.2,2.0,0.0,0.0,,605194
Chase De Jong,28,0,Maj-NL,"Jun 22, 2022",Pittsburgh,,Chicago,1,0,,,,3.2,1,0,0,1,2,0,0,0.0,,11,0,0,0,1,0,0,0,0,12,43,0.63,0.21,0.05,0.22,0.22,0.11,0.546,0.111,4.9,2.0,608328
Ross Detwiler,36,0,Maj-NL,"Jun 22, 2022",Cincinnati,,Los Angeles,1,0,,1.0,,1.0,1,1,1,0,1,1,0,9.0,,4,0,0,0,0,0,0,0,0,4,17,0.71,0.18,0.06,0.0,0.67,0.0,1.0,0.0,9.0,,446321
Edwin D\xc3\xadaz,28,0,Maj-NL,"Jun 22, 2022",New York,@,Houston,1,0,,,,0.1,1,0,0,0,1,0,0,0.0,,2,0,0,0,0,0,0,0,0,2,6,0.83,0.0,0.67,1.0,0.0,0.0,3.0,1.0,27.0,,621242
Jake Diekman,35,0,Maj-AL,"Jun 22, 2022",Boston,,Detroit,1,0,,,,1.0,0,0,0,1,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,4,18,0.61,0.28,0.06,0.5,0.5,0.0,1.0,0.0,9.0,1.0,518617
Jerad Eickhoff,31,0,Maj-NL,"Jun 22, 2022",Pittsburgh,,Chicago,1,1,,1.0,,4.1,10,10,10,1,4,2,3,20.77,6,22,2,1,0,0,1,0,0,0,27,83,0.63,0.12,0.11,0.42,0.26,0.05,2.539,0.471,8.3,4.0,595191
Calvin Faucher,26,0,Maj-AL,"Jun 22, 2022",Tampa Bay,,New York,1,0,,,,0.2,1,1,0,2,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,6,22,0.45,0.14,0.0,0.33,0.33,0.0,4.5,0.333,13.5,0.5,676534
Jason Foley,26,0,Maj-AL,"Jun 22, 2022",Detroit,@,Boston,1,0,,,,1.0,1,0,0,0,3,0,0,0.0,,4,0,0,0,0,0,1,0,0,4,16,0.69,0.31,0.06,0.0,1.0,0.0,1.0,1.0,27.0,,671345
Matt Foster,27,0,Maj-AL,"Jun 22, 2022",Chicago,,Toronto,1,0,,,,1.2,2,2,2,0,2,1,0,10.8,,7,0,0,0,0,0,0,0,0,7,26,0.69,0.08,0.12,0.0,0.4,0.2,1.2,0.25,10.8,,641582
